experiment_id,cortex_region,division,projection_strength_ipsi,projection_density_ipsi,projection_strength_contra,projection_density_contra,injection_volume
100140949,RSPv,CPvm,1251.9641,0.003789341,0.007726762,2.3060275332000706e-07,0.184504365
146858755,VISl,CPvm,708.35236,0.002387584,170.26543,0.001138101,0.066182031
277800995,MOs,CPdm,2517.7615,0.004794692,274.29965,0.000389488,0.295936186
174361746,VISC,CPvm,82151.76,0.086520769,65228.77,0.069624813,0.44995179
521402511,VISrl,CPdm,59688.945,0.09450293,589.1629,0.003342894,0.06297063
249327301,SSp-n,CPdm,23254.705,0.013978831,3207.7412,0.005226611,0.143889274
292124058,RSPv,CPdm,1397.7676,0.002312715,1.0358808,1.791014717452055e-05,0.010428632
146077302,VISpm,CPdm,167098.44,0.143736848,1897.8108,0.007443857,0.061059292
297946154,VISpm,CPdm,15761.043,0.027088982,0,0,0.071164454
501116471,VISp,CPdm,40.915394,0.000526235,6178.6006,0.022196053080141758,0.233435079
569994739,AUDp,CPdm,18012.219,0.049766765,46.06454,0.000268729,0.112992961
599076623,RSPv,CPdm,3189.548,0.020321406,93.26726,0.001232341,0.013946175
307320960,VISp,CPdm,117906.766,0.101443919,6180.31,0.01569982,0.514251002
174361746,VISC,CPdm,9814.619,0.023040751,2931.2166,0.009059844,0.44995179
100140756,FRP,CPdm,29898.977,0.039966762,7536.2056,0.017405357747503052,0.156189793
100141219,VISp,CPvm,1.6424459,2.08E-05,2.5249364,3.082390136044094e-05,0.204278883
148964212,SSp-ul,CPvm,22.04036,0.000113764,0.827311,1.668026582348051e-05,0.039421335
175819113,SSp-bfd,CPvm,8761.181,0.018567288,111.65871,0.000447677,0.135893944
277801701,SSp-bfd,CPdm,6505.5967,0.007360379,325.03592,0.000779284,0.340256431
146858755,VISl,CPdm,311135.22,0.163329012,34583.99,0.067511646,0.066182031
501117182,VISp,CPdm,149.11766,0.001753426,38536.18,0.081666889,0.089482408
100140949,RSPv,CPdm,230245.4,0.162647043,221.04214,0.001191371,0.184504365
175819113,SSp-bfd,CPdm,134247.3,0.105358631,6661.0605,0.01656089,0.135893944
249396394,RSPv,CPdm,10793.393,0.019989415,262.05957,0.000991054,0.169900875
297946935,MOs,CPdm,8677.272,0.009075141,9.179866,0.00011361,0.108621181
292124765,SSp-tr,CPdm,89149.95,0.075153745,29.23464,0.000570511,0.130519967
521600217,ORBl,CPdm,4603.64,0.013470122,690.506,0.002550466,0.077308324
307557934,VISp,CPdm,170959.06,0.126934209,6905.083,0.021167564800334528,0.527893817
570460301,VISpm,CPdm,9855.081,0.027673637,41.983635,0.000228374,0.100629987
601476074,VISp,CPdm,7974.447,0.033514574,29181.475,0.071511759,0.597899176
100141273,MOp,CPvm,24298.191,0.051098803,545.114,0.002667613,0.235111134
156394513,MOs,CPvm,10897.113,0.016493554,26.114614,0.0001708,0.139516965
176429574,VISpor,CPvm,85.638306,0.000344597,3.2923193,4.358392037748133e-05,0.103147646
277849965,VISl,CPdm,21941.498,0.040030332,1004.5358,0.003500089,0.029914848
148964212,SSp-ul,CPdm,11033.324,0.015401266,19.127754,0.000155426,0.039421335
502140653,VISp,CPdm,5418.7812,0.028298263,81039.81,0.11518107889035492,0.031648693
100141219,VISp,CPdm,64002.12,0.078808722,591.77936,0.003165561,0.204278883
571823196,ACAv,CPdm,295040.62,0.145633172,80488.734,0.086432756,0.119547035
176429574,VISpor,CPdm,7806.582,0.018657761,169.74612,0.000592034,0.103147646
297947641,MOs,CPdm,19635.031,0.025729579,104.61837,0.000516704,0.036611845
602094339,VISp,CPdm,13.277894,0.000166649,16150.042,0.020253225,0.011171836
522408611,VISp,CPdm,6314.1997,0.03200674,79455.08,0.11641434241511033,0.030385189
307593747,VISp,CPdm,93621.31,0.098186502,3788.5803,0.012296584350451617,0.518530113
292125472,ACAd,CPdm,33889.52,0.04548009,34.31576,0.000213692,0.112294907
249402048,GU,CPdm,7145.579,0.008130438,2554.2627,0.003491556,0.32121215
100141454,MOs,CPvm,130026.29,0.115636212,40314.58,0.073521231,0.099027951
156395997,SSs,CPvm,69.9852,0.000305702,0.63843936,8.839772210600271e-06,0.07813122
176430283,AUDd,CPvm,818.3873,0.003285167,36.904274,0.000146202,0.370740311
277851379,VISrl,CPdm,20395.31,0.040777562,206.99683,0.001043631,0.034151388
156394513,MOs,CPdm,26528.664,0.033656702,422.75812,0.001499687,0.139516965
100141273,MOp,CPdm,127934.86,0.091505632,13836.2705,0.028180809469471463,0.235111134
502180994,VISpm,CPdm,19758.918,0.065210615,602.40155,0.004779396,0.00848659
522409371,VISp,CPdm,4.7289824,4.91E-05,3231.9802,0.006490161,0.044148902
297948420,SSp-m,CPdm,15135.611,0.00931858,64.80255,0.0003406,0.180959097
176430283,AUDd,CPdm,65057.977,0.101346605,342.19955,0.001526283,0.370740311
307766627,ORBl,CPdm,4508.182,0.013195397,278.35025,0.001272543,0.149506134
257636467,SSs,CPdm,1139.5706,0.003343048,50.359695,0.000243209,0.032376378
292172846,MOs,CPdm,19454.469,0.021960761,31.06601,0.000160423,0.073765443
602166541,VISp,CPdm,0.000801991,3.84E-07,12484.878,0.014425893307024122,0.002334407
572588941,VISpm,CPdm,312375,0.188321662,11565.172,0.040495227099513156,0.435706354
100141473,SSp-bfd,CPvm,6533.6157,0.019084376,97.759415,0.000421157,0.183524482
156492394,MOs,CPvm,75092.54,0.084789558,8874.221,0.033832268012669316,0.256714332
176433237,MOs,CPvm,536.3785,0.001912389,9.24977,7.217866178916221e-05,0.10717672
277852088,SSp-m,CPdm,6819.044,0.004309965,4705.5815,0.005562676,0.186192748
156395997,SSs,CPdm,20287.75,0.025439173,2.8891215,7.694445202444236e-05,0.07813122
100141454,MOs,CPdm,141536.98,0.137954254,37893.875,0.07120767,0.099027951
503017948,VISp,CPdm,643.94867,0.005744161,16760.229,0.055757747,0.033106664
257666283,SSp-m,CPdm,1641.2476,0.004629043,330.19128,0.001120499,0.071651441
176433237,MOs,CPdm,52615.926,0.080300568,306.50763,0.001779869,0.10717672
297951732,SSp-ul,CPdm,102026.93,0.032607383,31.97224,0.000541763,0.322666666
308879859,VISp,CPdm,7192.7397,0.01735793,0,0,0.112494572
292173552,SSp-ul,CPdm,11535.008,0.009786166,1.2607288,3.082390136044094e-05,0.036897118
100141495,SSp-tr,CPvm,8101.0137,0.023987836,467.27457,0.002109785,0.130780931
602828622,MOs,CPdm,247.58295,0.001027796,269.89725,0.001304059,0.014112638
522635991,VISrl,CPdm,578266.44,0.19697134,114961.836,0.12614992945477438,0.040053504
572770444,VISl,CPdm,91752.48,0.145798514,9770.987,0.049445304,0.027157334
156493815,AUDd,CPvm,255.76448,0.001428046,4.1004434,3.7741983960041155e-05,0.237899586
176496282,SSp-un,CPvm,13.391357,6.02E-05,0,0,0.2148493
277907462,SSp-tr,CPdm,104112.76,0.063601777,0.8037483,2.083111538324064e-05,0.138895194
156492394,MOs,CPdm,38607.7,0.06129106,2212.1147,0.008714939,0.256714332
100141473,SSp-bfd,CPdm,161014.12,0.132423554,13099.71,0.037668499,0.183524482
503018656,VISl,CPdm,125922.81,0.148404402,8354.415,0.040157471,0.051231543
257667118,VISp,CPdm,15232.262,0.028165436,705.8019,0.002567685,0.027626068
292174264,VISli,CPdm,1130.3684,0.002511187,3.252929,7.686758444000236e-05,0.007206663
176496282,SSp-un,CPdm,14970.619,0.012662628,22.563753,0.000152428,0.2148493
309003780,VISp,CPdm,130160.42,0.109505407,9868.193,0.022806919773686457,0.314058816
297985755,SSp-m,CPdm,1337.0244,0.001924149,3.1490674,3.159257720484097e-05,0.180352203
100141563,MOp,CPvm,32732.512,0.064994848,1521.087,0.007928814,0.172595856
522636747,VISp,CPdm,1080.3541,0.003305229,30727.871,0.043132554,0.027628907
603208501,VISal,CPdm,39859.344,0.062229229,118.447426,0.000604256,0.018129904
572969377,AUDd,CPdm,41909.38,0.121541257,4900.898,0.035498988,0.04534583
156546627,ACAv,CPvm,60.018066,0.000214384,5.324085,3.420607507580105e-05,0.009907086
177319236,SSp-ll,CPvm,27.853374,0.00013521,0,0,0.243838504
277908168,ACAd,CPdm,42085.254,0.048587539,0,0,0.065703992
156493815,AUDd,CPdm,28259.451,0.054647395,76.38731,0.00060587,0.237899586
100141495,SSp-tr,CPdm,199989.53,0.136100746,17089.36,0.046352845,0.130780931
503058936,VISp,CPdm,32894.94,0.089920546,170310.17,0.17256880321398743,0.032441352
257667830,VISpm,CPdm,11248.851,0.029351887,47.512806,0.000273649,0.048918709
177319236,SSp-ll,CPdm,75356.11,0.031324156,43.227505,0.000208619,0.243838504
292174974,MOs,CPdm,39761.246,0.042509081,28.150518,0.000134211,0.095908288
309113907,VISp,CPdm,347677.94,0.164953301,27666.012,0.052550293,0.786978808
297987980,MOs,CPdm,13555.308,0.009968265,681.16785,0.001667104,0.224016867
100141780,MOp,CPvm,153045.1,0.064511812,45232.258,0.046253070379575975,0.175196678
574941472,VISp,CPdm,1855.3795,0.013290021,24131.87,0.068439054,0.243418535
603211567,MOs,CPdm,1097.6063,0.002966551,130.2082,0.000375498,0.015842674
522773270,ORBvl,CPdm,104446.516,0.111205026,39763.863,0.053726136938833005,0.380091471
156741826,ORBl,CPvm,623307.1,0.133264716,171364.9,0.11672358070731245,0.422765375
177319974,MOs,CPvm,7043.408,0.006419827,27.613169,0.000148969,0.267696898
277956496,ORBm,CPdm,15314.105,0.031974378,1313.2435,0.00490738,0.13142485
156546627,ACAv,CPdm,1993.2828,0.007131928,85.1781,0.000421619,0.009907086
100141563,MOp,CPdm,83922.7,0.070882751,6257.3096,0.016444589809587462,0.172595856
503069254,VISp,CPdm,2408.7715,0.01417861,57965.36,0.093676373,0.07109877
258316155,ACAd,CPdm,669551.3,0.220653705,195855.03,0.17412368071203982,0.103667144
177319974,MOs,CPdm,165289.33,0.068318602,324.00192,0.001116886,0.267696898
292208876,TEa,CPdm,8963.706,0.023875533,150.79779,0.000738083,0.06518125
309427991,SSp-m,CPdm,134.66316,0.00035974,42.407215,0.000236214,0.064993037
100142655,SSp-bfd,CPvm,28025.543,0.048229105,2569.9158,0.008739306,0.175920427
298000163,MOs,CPdm,50859.92,0.080960399,3882.2456,0.014610990450355648,0.114944004
574950390,VISp,CPdm,5087.3315,0.008170947,2.6850963,7.410035140016226e-05,0.216288822
603331422,MOs,CPdm,1236.8367,0.003655131,350.95105,0.001144943,0.015558579
522774029,ACAd,CPdm,1287.0941,0.00458961,18122.033,0.046586906,0.011224124
156785529,ACAd,CPvm,3741.4795,0.005614024,44.611675,0.000102695,0.090982063
177322838,SSp-n,CPvm,1233.2802,0.003869975,91.96256,0.000339755,0.016850152
277957202,MOs,CPdm,92167.164,0.107975204,6581.007,0.022168073,0.152980617
156741826,ORBl,CPdm,220051.69,0.145819114,43432.035,0.060399781,0.422765375
100141780,MOp,CPdm,25664.406,0.033152759,15147.276,0.016844762454182115,0.175196678
503323656,VISp,CPdm,487.7142,0.004294823,5448.706,0.028529942037997955,0.068570825
258915564,MOs,CPdm,22686.664,0.014168694,530.80524,0.001522901,0.192081725
177322838,SSp-n,CPdm,571.4584,0.001055392,174.91423,0.000620321,0.016850152
292209592,AId,CPdm,8.89376,5.52E-05,0,0,0.025760692
309428697,SSp-ul,CPdm,3538.474,0.006236805,42.899128,0.000432534,0.091676089
100147853,VISp,CPvm,27.028282,6.60E-05,0,0,0.073547618
575216368,MOs,CPdm,37092.41,0.025059217,133.08157,0.000590804,0.159591991
298000880,RSPv,CPdm,32202.004,0.036366054,0,0,0.076824366
603479758,VISp,CPdm,5552.464,0.012026779,47404.266,0.054920198,0.115881178
523718823,VISpm,CPdm,46632.992,0.114573748,1527.7281,0.022709221073863216,0.075229259
157062358,VISpor,CPvm,940.84283,0.003492863,119.194046,0.000461667,0.073378578
